timestamp,gaze_x,gaze_y
1788318800.258325,1063,110
1788318800.2819371,1045,111
1788318800.3122437,1011,114
1788318800.3417664,983,61
1788318800.3737257,962,14
1788318800.42456,965,-26
1788318800.4575574,982,-44
1788318800.498463,993,-54
1788318800.526658,993,-45
1788318800.5559268,977,-60
1788318800.584813,979,-66
1788318800.6141427,932,-83
1788318800.6461587,943,-77
1788318800.6828384,948,-73
1788318800.7125275,953,-74
1788318800.7423415,947,-73
1788318800.774891,951,-66
1788318800.824828,916,-18
1788318800.8559475,624,236
1788318800.8874702,326,579
1788318800.919045,160,683
1788318800.9533188,185,724
1788318800.9853873,149,747
1788318801.0156667,182,732
1788318801.0504978,161,716
1788318801.081211,184,732
1788318801.112111,188,740
1788318801.1456704,206,751
1788318801.1803386,239,743
1788318801.2250133,200,726
1788318801.258771,195,724
1788318801.2891293,182,712
1788318801.324153,184,709
1788318801.3537588,188,704
1788318801.3858836,196,704
1788318801.41519,196,699
1788318801.4474375,190,686
1788318801.4807904,195,692
1788318801.5103812,195,693
1788318801.5428267,193,691
1788318801.5780492,191,687
1788318801.624015,200,687
1788318801.65467,198,681
1788318801.6914945,210,689
1788318801.723087,204,688
1788318801.7522724,199,683
1788318801.7816586,200,683
1788318801.8189497,194,678
1788318801.8478484,188,678
1788318801.8782396,171,678
1788318801.9122355,173,680
1788318801.942836,172,684
1788318801.973495,187,682
1788318802.0227466,275,694
1788318802.0583086,321,702
1788318802.0887754,353,705
1788318802.1202686,383,710
1788318802.1497843,417,722
1788318802.1875324,410,723
1788318802.2162719,418,717
1788318802.2476077,420,719
1788318802.2784908,427,730
1788318802.3141649,429,728
1788318802.3440564,433,732
1788318802.3752491,447,728
1788318802.4229798,460,737
1788318802.4589202,463,730
1788318802.488522,474,734
1788318802.517939,482,734
1788318802.556126,498,733
1788318802.5866923,492,728
1788318802.6159568,482,732
1788318802.6470232,462,732
1788318802.6772022,467,730
1788318802.7158167,443,733
1788318802.741016,442,735
1788318802.7759943,427,727
1788318802.821774,423,723
1788318802.8567805,404,722
1788318802.886798,327,712
1788318802.9179065,294,701
1788318802.9497828,272,700
1788318802.9830894,255,695
1788318803.016247,238,694
1788318803.0475416,224,699
1788318803.0866172,203,701
1788318803.1113174,188,700
1788318803.1416461,182,701
1788318803.175215,191,702
1788318803.2256238,183,702
1788318803.2541559,184,700
1788318803.288922,206,706
1788318803.3205135,205,721
1788318803.3557365,214,718
1788318803.3866534,234,702
1788318803.4170425,208,681
1788318803.4476275,198,689
1788318803.4838722,167,684
1788318803.513398,175,692
1788318803.5433152,180,683
1788318803.573203,247,667
1788318803.626211,460,566
1788318803.65473,526,483
1788318803.6868567,616,406
1788318803.7223418,706,348
1788318803.7525835,732,317
1788318803.784156,738,297
1788318803.816192,765,303
1788318803.851079,763,318
1788318803.880806,657,356
1788318803.9116032,442,474
1788318803.9468193,336,546
1788318803.9773586,335,588
1788318804.0294714,323,615
1788318804.0594685,330,627
1788318804.0886962,316,636
1788318804.1206226,272,638
